Identifier,Species_Name,Species_Type,Number
fv-1,"Terminalia",Native,3
fv-2,"Terminalia",Native,9
fv-2,"Mara",Native,11
fv-2,"Apape",Native,16
fv-3,"Terminalia",Native,1
fv-3,"Mara",Native,7
fv-4,"Mara",Native,6
fv-4,"Apape",Native,2
fv-4,"Tiairi (bancoulier)",Native,1
fv-4,"Purau boutures",Native,1
fv-5,"Christiana",Native,16
fv-5,"Ochrosia tahitensis",Native,4
fv-5,"Terminalia",Native,4
fv-5,"Mara",Native,10
fv-5,"Apape",Native,3
fv-6,"Terminalia",Native,3
fv-6,"Mara",Native,13
fv-6,"Tarenna sambucina",Native,1
fv-7,"Terminalia",Native,3
fv-7,"Mara",Native,3
fv-13,"Ochrosia tahitensis",Native,8
fv-14,"Ochrosia tahitensis",Native,4
fv-16,"Terminalia",Native,3
fv-16,"Mara",Native,3
fv-17,"Mara",Native,6
fv-19,"Terminalia",Native,1
fv-19,"Mara",Native,4
fv-20,"Terminalia",Native,2
fv-20,"Mara",Native,17
fv-21,"Mara",Native,7
fv-22,"Terminalia",Native,1
fv-22,"Mara",Native,6
fv-23,"Mara",Native,10
fv-23,"Apape",Native,2
fv-24,"Ochrosia tahitensis",Native,12
fv-24,"Terminalia",Native,2
fv-24,"Mara",Native,6
fv-24,"Apape",Native,1
fv-24,"Tarenna sambucina",Native,3
fv-25,"Terminalia",Native,1
fv-25,"Mara",Native,4
fv-25,"Xylosma suaveolens",Native,1
fv-27,"Mara",Native,5
fv-28,"Mara",Native,13
fv-30,"Ochrosia tahitensis",Native,8
fv-31,"Ochrosia tahitensis",Native,2
fv-32,"Ochrosia tahitensis",Native,5
fv-33,"Ochrosia tahitensis",Native,3
fv-34,"Mara",Native,4
fv-37,"Mara",Native,5
fv-38,"Terminalia",Native,1
fv-38,"Mara",Native,6
fv-40,"Terminalia",Native,1
fv-40,"Mara",Native,5
fv-41,"Mara",Native,6
fv-43,"Mara",Native,3
fv-44,"Mara",Native,4
fv-45,"Mara",Native,4
fv-49,"Ochrosia tahitensis",Native,4
fv-50,"Mara",Native,2
fv-51,"Mara",Native,3
fv-52,"Mara",Native,8
fv-53,"Mara",Native,4
fv-54,"Ochrosia tahitensis",Native,7
fv-55,"Ochrosia tahitensis",Native,1
fv-56,"Apape",Native,2
fv-57,"Apape",Native,2
fv-58,"Apape",Native,8
fv-59,"Mara",Native,2
fv-60,"Anodendron parviflorum",Introduced,1
fv-60,"Santalum insulare",Native,6
fv-61,"Mara",Native,1
fv-62,"Passiflora maliformis",Introduced,1
fv-62,"Apape",Native,2
fv-63,"Apape",Native,27
fv-64,"Apape",Native,2
fv-65,"Cecropia peltata",Introduced,1
fv-65,"Ochrosia tahitensis",Native,7
fv-65,"Mara",Native,12
fv-65,"Pittosporum taitense",Native,2
fv-66,"Apape",Native,4
fv-67,"Apape",Native,1
fv-68,"Passiflora maliformis",Introduced,2
fv-68,"Ochrosia tahitensis",Native,3
fv-69,"Passiflora maliformis",Introduced,1
fv-70,"Mara",Native,4
fv-70,"Tiairi (bancoulier)",Native,1
fv-71,"Mara",Native,12
fv-72,"Mara",Native,6
fv-73,"Mara",Native,2
fv-74,"Santalum insulare",Native,6
fv-75,"Banian",,1
fv-77,"Terminalia",Native,3
fv-77,"Mara",Native,3
fv-77,"Tarenna sambucina",Native,3
fv-77,"Pittosporum taitense",Native,1
fv-78,"Terminalia",Native,1
fv-78,"Mara",Native,7
fv-78,"Tarenna sambucina",Native,2
fv-78,"Glochidion Mahame",,1
fv-81,"Mara",Native,24
fv-82,"Faifai",Native,6
fv-83,"Apape",Native,4
fv-84,"Christiana",Native,3
fv-86,"Terminalia",Native,10
fv-86,"Mara",Native,8
fv-86,"Xylosma suaveolens",Native,4
fv-86,"Tarenna sambucina",Native,1
fv-87,"Mara",Native,15
fv-88,"Pisonia",Native,2
fv-88,"Atractocarpus",,1
fv-89,"Pisonia",Native,2
fv-89,"Atractocarpus",,1
fv-90,"Pisonia",Native,4
fv-90,"Atractocarpus",,4
fv-91,"Pisonia",Native,3
fv-92,"Ochrosia tahitensis",Native,9
fv-92,"Mara",Native,1
fv-93,"Mara",Native,4
fv-94,"Anodendron parviflorum",Introduced,1
fv-94,"Mara",Native,11
